Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][6450/10010]	Time 1.126 (1.092)	Data 0.731 (0.695)	Loss 4.6069 (5.5959)	Prec@1 9.375 (5.207)
Epoch: [1][6500/10010]	Time 1.118 (1.092)	Data 0.723 (0.696)	Loss 4.6457 (5.5892)	Prec@1 16.406 (5.254)
Epoch: [1][6550/10010]	Time 1.126 (1.093)	Data 0.731 (0.696)	Loss 4.7263 (5.5822)	Prec@1 10.156 (5.301)
Epoch: [1][6600/10010]	Time 1.097 (1.093)	Data 0.701 (0.697)	Loss 4.6078 (5.5752)	Prec@1 7.031 (5.354)
Epoch: [1][6650/10010]	Time 1.173 (1.093)	Data 0.777 (0.697)	Loss 4.9170 (5.5686)	Prec@1 9.375 (5.403)
Epoch: [1][6700/10010]	Time 1.068 (1.093)	Data 0.671 (0.697)	Loss 4.6686 (5.5621)	Prec@1 7.031 (5.450)
Epoch: [1][6750/10010]	Time 1.227 (1.094)	Data 0.833 (0.697)	Loss 4.6543 (5.5552)	Prec@1 12.500 (5.502)
Epoch: [1][6800/10010]	Time 1.053 (1.094)	Data 0.657 (0.697)	Loss 4.7486 (5.5483)	Prec@1 10.938 (5.557)
Epoch: [1][6850/10010]	Time 1.077 (1.094)	Data 0.680 (0.697)	Loss 4.7964 (5.5419)	Prec@1 8.594 (5.602)
Epoch: [1][6900/10010]	Time 1.077 (1.094)	Data 0.682 (0.698)	Loss 4.3235 (5.5352)	Prec@1 17.969 (5.651)
Epoch: [1][6950/10010]	Time 1.169 (1.094)	Data 0.774 (0.698)	Loss 4.6064 (5.5290)	Prec@1 7.812 (5.697)
Epoch: [1][7000/10010]	Time 1.167 (1.094)	Data 0.771 (0.698)	Loss 4.7689 (5.5225)	Prec@1 10.156 (5.748)
Epoch: [1][7050/10010]	Time 1.062 (1.095)	Data 0.667 (0.698)	Loss 4.3945 (5.5161)	Prec@1 15.625 (5.792)
Epoch: [1][7100/10010]	Time 1.112 (1.095)	Data 0.715 (0.698)	Loss 4.6555 (5.5096)	Prec@1 11.719 (5.841)
Epoch: [1][7150/10010]	Time 1.192 (1.095)	Data 0.795 (0.698)	Loss 4.6863 (5.5035)	Prec@1 11.719 (5.886)
Epoch: [1][7200/10010]	Time 1.063 (1.095)	Data 0.667 (0.699)	Loss 4.6978 (5.4968)	Prec@1 11.719 (5.939)
Epoch: [1][7250/10010]	Time 1.113 (1.095)	Data 0.717 (0.699)	Loss 4.6820 (5.4906)	Prec@1 11.719 (5.983)
Epoch: [1][7300/10010]	Time 1.073 (1.095)	Data 0.677 (0.699)	Loss 4.7520 (5.4845)	Prec@1 10.938 (6.030)
Epoch: [1][7350/10010]	Time 1.167 (1.095)	Data 0.772 (0.699)	Loss 4.5797 (5.4786)	Prec@1 14.844 (6.073)
Epoch: [1][7400/10010]	Time 1.176 (1.095)	Data 0.781 (0.699)	Loss 4.4008 (5.4725)	Prec@1 11.719 (6.118)
Epoch: [1][7450/10010]	Time 1.073 (1.096)	Data 0.676 (0.699)	Loss 4.3569 (5.4661)	Prec@1 16.406 (6.170)
Epoch: [1][7500/10010]	Time 1.089 (1.096)	Data 0.695 (0.699)	Loss 4.6562 (5.4602)	Prec@1 10.938 (6.211)
Epoch: [1][7550/10010]	Time 1.057 (1.096)	Data 0.662 (0.699)	Loss 4.6743 (5.4538)	Prec@1 17.188 (6.261)
Epoch: [1][7600/10010]	Time 1.092 (1.096)	Data 0.698 (0.699)	Loss 4.3219 (5.4477)	Prec@1 17.188 (6.313)
Epoch: [1][7650/10010]	Time 1.472 (1.096)	Data 1.075 (0.700)	Loss 4.4815 (5.4414)	Prec@1 13.281 (6.362)
Epoch: [1][7700/10010]	Time 1.195 (1.096)	Data 0.800 (0.700)	Loss 4.3467 (5.4352)	Prec@1 17.188 (6.410)
Epoch: [1][7750/10010]	Time 1.133 (1.096)	Data 0.737 (0.700)	Loss 4.2475 (5.4292)	Prec@1 17.188 (6.459)
Epoch: [1][7800/10010]	Time 1.073 (1.096)	Data 0.677 (0.700)	Loss 4.6534 (5.4231)	Prec@1 14.844 (6.507)
Epoch: [1][7850/10010]	Time 1.056 (1.096)	Data 0.659 (0.700)	Loss 4.5674 (5.4172)	Prec@1 15.625 (6.552)
Epoch: [1][7900/10010]	Time 1.066 (1.096)	Data 0.670 (0.700)	Loss 4.4185 (5.4111)	Prec@1 14.062 (6.602)
Epoch: [1][7950/10010]	Time 1.126 (1.096)	Data 0.731 (0.700)	Loss 4.4031 (5.4051)	Prec@1 17.969 (6.652)
Epoch: [1][8000/10010]	Time 1.252 (1.097)	Data 0.856 (0.700)	Loss 4.4709 (5.3993)	Prec@1 15.625 (6.697)
Epoch: [1][8050/10010]	Time 1.125 (1.097)	Data 0.729 (0.700)	Loss 4.7050 (5.3932)	Prec@1 9.375 (6.748)
Epoch: [1][8100/10010]	Time 1.074 (1.097)	Data 0.678 (0.700)	Loss 4.2840 (5.3873)	Prec@1 15.625 (6.796)
Epoch: [1][8150/10010]	Time 1.264 (1.097)	Data 0.869 (0.701)	Loss 4.4928 (5.3815)	Prec@1 13.281 (6.843)
Epoch: [1][8200/10010]	Time 1.083 (1.097)	Data 0.688 (0.701)	Loss 4.4800 (5.3758)	Prec@1 10.156 (6.887)
Epoch: [1][8250/10010]	Time 1.094 (1.097)	Data 0.699 (0.701)	Loss 4.1465 (5.3703)	Prec@1 17.188 (6.935)
Epoch: [1][8300/10010]	Time 1.083 (1.097)	Data 0.687 (0.701)	Loss 4.3231 (5.3647)	Prec@1 16.406 (6.980)
Epoch: [1][8350/10010]	Time 1.082 (1.097)	Data 0.685 (0.701)	Loss 4.2746 (5.3588)	Prec@1 15.625 (7.029)
